rarete,titre,shiny,atk,def,url
UR,Liste d'abréviations en santé,False,9000,4352,https://fr.wikipedia.org/wiki/Liste_d%27abr%C3%A9viations_en_sant%C3%A9
UR,Renée Zellweger,False,8240,5893,https://fr.wikipedia.org/wiki/Ren%C3%A9e_Zellweger
UR,Roland Hayes,False,7555,4714,https://fr.wikipedia.org/wiki/Roland_Hayes
SR,Michel Dodane,False,7219,5894,https://fr.wikipedia.org/wiki/Michel_Dodane
SR,Richard Blass,False,5926,3186,https://fr.wikipedia.org/wiki/Richard_Blass
SR,Sam Underwood,False,5727,3184,https://fr.wikipedia.org/wiki/Sam_Underwood
R,Aire de Wernicke,False,4000,4352,https://fr.wikipedia.org/wiki/Aire_de_Wernicke
R,Green Lantern (série télévisée d'animation),False,5017,4498,https://fr.wikipedia.org/wiki/Green_Lantern_(s%C3%A9rie_t%C3%A9l%C3%A9vis%C3%A9e_d%27animation)
R,Histoire de la culture de l'hévéa,False,5819,7318,https://fr.wikipedia.org/wiki/Histoire_de_la_culture_de_l%27h%C3%A9v%C3%A9a
R,Kazunari Ninomiya,False,4885,2906,https://fr.wikipedia.org/wiki/Kazunari_Ninomiya
R,Le Protecteur (série télévisée),False,4771,3154,https://fr.wikipedia.org/wiki/Le_Protecteur_(s%C3%A9rie_t%C3%A9l%C3%A9vis%C3%A9e)
R,Mireille Havet,False,5139,4352,https://fr.wikipedia.org/wiki/Mireille_Havet
R,Nicolas Cadène,False,5319,6479,https://fr.wikipedia.org/wiki/Nicolas_Cad%C3%A8ne
R,Sifaka,False,5968,8424,https://fr.wikipedia.org/wiki/Sifaka
R,Thou,False,3968,4352,https://fr.wikipedia.org/wiki/Thou
PC,Adrian van Hooydonk,False,3236,5134,https://fr.wikipedia.org/wiki/Adrian_van_Hooydonk
PC,Arena Baltika,False,3075,3640,https://fr.wikipedia.org/wiki/Arena_Baltika
PC,Canard à foie gras du Sud-Ouest,False,3311,5477,https://fr.wikipedia.org/wiki/Canard_%C3%A0_foie_gras_du_Sud-Ouest
PC,Certificat d'urbanisme,False,3678,5638,https://fr.wikipedia.org/wiki/Certificat_d%27urbanisme
PC,ChangesBowie,False,2907,2672,https://fr.wikipedia.org/wiki/ChangesBowie
PC,Diva (album d'Annie Lennox),False,3026,3887,https://fr.wikipedia.org/wiki/Diva_(album_d%27Annie_Lennox)
PC,Fonction quantile,False,2859,2788,https://fr.wikipedia.org/wiki/Fonction_quantile
PC,Foyer socio-éducatif,False,2816,2045,https://fr.wikipedia.org/wiki/Foyer_socio-%C3%A9ducatif
PC,"Gauguin, le loup dans le soleil",False,2773,2235,"https://fr.wikipedia.org/wiki/Gauguin,_le_loup_dans_le_soleil"
PC,Gaye Su Akyol,False,2924,4176,https://fr.wikipedia.org/wiki/Gaye_Su_Akyol
